Name,Market Share,Units Sold,Last Revision Date,Stock Out,Pfmn,Size,Position Difference,Price,Price Difference,MTBF,MTBF Difference,Age,Age Difference,Promo Budget,Customer Awareness,Sales Budget,Customer Accessibility,Segment,Round,Position Out of Range,Price Out of Range,MTBF Out of Range,Age Out of Range,CSS
Able,0.2,1081,11/21/2018,0,6.4,13.6,1.5556349186104046,33.0,18.0,21000,0,4.1,1.0999999999999996,2000.0,0.82,2000.0,0.49,0,1,0,0,0,1,21.0
Cake,0.19,1028,4/23/2022,0,6.0,14.0,0.9899494936611661,33.0,18.0,20000,0,2.39,0.6099999999999999,2000.0,0.82,1500.0,0.42,0,1,0,0,0,0,25.0
Fast,0.16,895,7/12/2022,0,5.8,14.2,0.7071067811865476,35.0,20.0,18000,2000,2.28,0.7200000000000002,1900.0,0.8,1900.0,0.48,0,1,0,1,0,0,19.0
Daze,0.16,873,7/2/2023,0,6.4,13.6,1.5556349186104046,34.0,19.0,21000,0,4.1,1.0999999999999996,2000.0,0.82,1000.0,0.35,0,1,0,0,0,1,17.0
Baker,0.16,867,5/1/2023,1,6.4,13.6,1.5556349186104046,34.0,19.0,21000,0,4.1,1.0999999999999996,1800.0,0.79,2900.0,0.58,0,1,0,0,0,1,21.0
Eat,0.14,779,5/7/2022,0,6.0,14.0,0.9899494936611661,34.0,19.0,19000,1000,2.37,0.6299999999999999,1200.0,0.65,1200.0,0.37,0,1,0,0,0,0,18.0
Able,0.19,500,11/21/2018,0,6.4,13.6,2.4041630560342604,33.0,8.0,21000,2000,4.1,4.1,2000.0,0.82,2000.0,0.5,1,1,0,0,0,1,13.0
Cake,0.19,495,4/23/2022,0,6.0,14.0,2.969848480983499,33.0,8.0,20000,3000,2.39,2.39,2000.0,0.82,1500.0,0.43,1,1,0,0,0,1,12.0
Fast,0.16,416,7/12/2022,0,5.8,14.2,3.2526911934581175,35.0,10.0,18000,5000,2.28,2.28,1900.0,0.8,1900.0,0.48,1,1,0,0,0,1,9.0
Daze,0.16,411,7/2/2023,0,6.4,13.6,2.4041630560342604,34.0,9.0,21000,2000,4.1,4.1,2000.0,0.82,1000.0,0.35,1,1,0,0,0,1,11.0
Baker,0.16,409,5/1/2023,1,6.4,13.6,2.4041630560342604,34.0,9.0,21000,2000,4.1,4.1,1800.0,0.79,2900.0,0.58,1,1,0,0,0,1,13.0
Eat,0.15,383,5/7/2022,0,6.0,14.0,2.969848480983499,34.0,9.0,19000,4000,2.37,2.37,1200.0,0.65,1200.0,0.38,1,1,0,0,0,1,9.0
Able,0.2,1248,2/19/2023,1,6.3,13.7,0.7071067811865476,33.0,18.0,21000,0,2.98,0.020000000000000018,2000.0,1.0,2000.0,0.55,0,2,0,0,0,0,34.0
